id,House,Hogsmeade_Visits,House_Allies,Curse_Mark,Owl_Posts,Quidditch_Attendance,Boggart_Fear,Time_in_Chamber,Corruption
976,Hufflepuff,,10.0,False,7.0,5.0,No,2.0,Safe
977,Ravenclaw,6.0,14.0,,,4.0,No,2.0,Safe
978,Gryffindor,5.0,10.0,,8.0,,No,1.0,Safe
979,Ravenclaw,4.0,14.0,,3.0,4.0,,0.0,Safe
980,Hufflepuff,4.0,6.0,False,,4.0,No,3.0,Vulnerable
981,Slytherin,2.0,5.0,,2.0,,Yes,,Vulnerable
982,Slytherin,8.0,4.0,False,9.0,6.0,No,0.0,Safe
983,Ravenclaw,3.0,6.0,False,4.0,,No,,Safe
984,Slytherin,,3.0,True,0.0,2.0,,,Vulnerable
985,Slytherin,9.0,12.0,False,8.0,4.0,,1.0,Safe
986,Hufflepuff,3.0,7.0,False,4.0,6.0,No,1.0,Safe
987,Ravenclaw,5.0,13.0,False,7.0,6.0,No,1.0,Safe
988,Ravenclaw,4.0,5.0,False,3.0,5.0,No,1.0,Safe
989,Slytherin,1.0,0.0,True,1.0,,Yes,,Vulnerable
990,Slytherin,3.0,4.0,True,,2.0,Yes,8.0,Vulnerable
991,Slytherin,7.0,12.0,False,6.0,6.0,No,,Safe
992,Gryffindor,,8.0,False,5.0,6.0,No,0.0,Safe
993,Ravenclaw,7.0,,,6.0,3.0,,1.0,Safe
994,Ravenclaw,1.0,4.0,,,0.0,Yes,8.0,Vulnerable
995,Gryffindor,9.0,10.0,False,4.0,6.0,No,1.0,Safe
996,Slytherin,,4.0,True,2.0,,Yes,4.0,Vulnerable
997,Slytherin,8.0,10.0,False,6.0,,No,1.0,Safe
998,Hufflepuff,0.0,,True,,2.0,,,Vulnerable
999,Slytherin,7.0,12.0,False,3.0,,No,2.0,Safe
1000,Hufflepuff,4.0,14.0,False,3.0,4.0,No,,Safe
1001,Gryffindor,5.0,,False,,3.0,No,3.0,Vulnerable
1002,Ravenclaw,8.0,10.0,,6.0,6.0,No,1.0,Safe
1003,Gryffindor,5.0,7.0,False,5.0,,No,,Vulnerable
1004,Slytherin,7.0,,False,3.0,,No,1.0,Safe
1005,Slytherin,3.0,5.0,True,2.0,,Yes,7.0,Vulnerable
1006,Slytherin,7.0,10.0,,4.0,5.0,No,3.0,Safe
1007,Gryffindor,1.0,1.0,True,,1.0,Yes,,Vulnerable
1008,Gryffindor,9.0,14.0,,8.0,,No,0.0,Safe
1009,Ravenclaw,9.0,5.0,False,10.0,3.0,No,3.0,Safe
1010,Ravenclaw,9.0,9.0,,5.0,5.0,,0.0,Safe
1011,Slytherin,7.0,9.0,,6.0,,No,1.0,Safe
1012,Slytherin,7.0,,False,3.0,5.0,No,1.0,Safe
1013,Slytherin,7.0,3.0,False,9.0,7.0,No,2.0,Safe
1014,Hufflepuff,8.0,,False,5.0,,No,,Vulnerable
1015,Slytherin,3.0,5.0,True,0.0,,Yes,10.0,Vulnerable
1016,Slytherin,8.0,10.0,False,6.0,3.0,No,3.0,Safe
1017,Gryffindor,9.0,13.0,False,6.0,5.0,No,0.0,Safe
1018,Slytherin,6.0,12.0,,,5.0,No,2.0,Safe
1019,Slytherin,4.0,12.0,False,6.0,6.0,No,0.0,Safe
1020,Hufflepuff,6.0,10.0,False,3.0,3.0,No,3.0,Safe
1021,Slytherin,2.0,,,2.0,,Yes,6.0,Vulnerable
1022,Ravenclaw,4.0,9.0,,7.0,7.0,No,0.0,Safe
1023,Slytherin,9.0,9.0,False,8.0,4.0,No,3.0,Safe
1024,Hufflepuff,7.0,15.0,,9.0,5.0,No,0.0,Safe
1025,Ravenclaw,4.0,11.0,False,10.0,6.0,No,1.0,Safe
1026,Slytherin,3.0,,,0.0,0.0,Yes,8.0,Vulnerable
1027,Hufflepuff,7.0,7.0,False,7.0,,No,0.0,Safe
1028,Slytherin,,2.0,True,0.0,,,,Vulnerable
1029,Ravenclaw,9.0,10.0,False,8.0,6.0,,2.0,Safe
1030,Slytherin,6.0,5.0,False,9.0,4.0,No,1.0,Safe
1031,Slytherin,3.0,4.0,,,0.0,Yes,11.0,Vulnerable
1032,Hufflepuff,1.0,2.0,,0.0,,Yes,8.0,Vulnerable
1033,Hufflepuff,2.0,0.0,True,,1.0,Yes,,Vulnerable
1034,Slytherin,6.0,,,,5.0,No,0.0,Vulnerable
1035,Gryffindor,7.0,14.0,,,5.0,No,0.0,Safe
1036,Slytherin,,2.0,True,0.0,0.0,Yes,5.0,Vulnerable
1037,Hufflepuff,2.0,1.0,True,2.0,3.0,Yes,4.0,Safe
1038,Slytherin,7.0,10.0,False,7.0,5.0,No,3.0,Safe
1039,Ravenclaw,,1.0,,,1.0,Yes,11.0,Vulnerable
1040,Hufflepuff,3.0,4.0,True,3.0,2.0,Yes,5.0,Vulnerable
1041,Slytherin,0.0,0.0,,0.0,1.0,Yes,11.0,Safe
1042,Slytherin,,5.0,,9.0,5.0,No,2.0,Safe
1043,Ravenclaw,6.0,12.0,,3.0,5.0,No,2.0,Safe
1044,Slytherin,,1.0,True,1.0,2.0,Yes,,Vulnerable
1045,Slytherin,9.0,13.0,False,4.0,5.0,No,0.0,Safe
1046,Hufflepuff,7.0,11.0,,7.0,6.0,No,3.0,Safe
1047,Gryffindor,8.0,7.0,,6.0,6.0,No,1.0,Safe
1048,Slytherin,8.0,6.0,False,7.0,6.0,No,1.0,Safe
1049,Gryffindor,4.0,14.0,False,,5.0,No,0.0,Safe
1050,Gryffindor,4.0,15.0,,4.0,6.0,No,1.0,Safe
1051,Slytherin,7.0,,False,4.0,5.0,No,2.0,Vulnerable
1052,Hufflepuff,2.0,,,,0.0,Yes,4.0,Vulnerable
1053,Ravenclaw,2.0,1.0,,2.0,,,8.0,Vulnerable
1054,Gryffindor,6.0,11.0,False,8.0,4.0,No,1.0,Safe
1055,Gryffindor,4.0,15.0,False,3.0,7.0,No,3.0,Safe
1056,Gryffindor,9.0,9.0,,3.0,5.0,No,0.0,Safe
1057,Slytherin,,,,7.0,5.0,No,0.0,Safe
1058,Slytherin,7.0,13.0,False,5.0,5.0,No,0.0,Safe
1059,Hufflepuff,3.0,5.0,False,3.0,3.0,,3.0,Safe
1060,Slytherin,3.0,,True,0.0,,Yes,,Vulnerable
1061,Hufflepuff,2.0,0.0,,1.0,,Yes,5.0,Vulnerable
1062,Gryffindor,4.0,11.0,False,,7.0,No,0.0,Safe
1063,Ravenclaw,9.0,5.0,False,,3.0,No,0.0,Safe
1064,Gryffindor,3.0,11.0,False,4.0,3.0,No,1.0,Safe
1065,Slytherin,7.0,5.0,False,9.0,6.0,No,,Safe
1066,Gryffindor,8.0,13.0,False,8.0,6.0,No,1.0,Safe
1067,Gryffindor,,5.0,False,8.0,5.0,No,1.0,Safe
1068,Ravenclaw,10.0,11.0,,4.0,4.0,No,4.0,Safe
1069,Ravenclaw,7.0,,False,6.0,7.0,No,2.0,Safe
1070,Gryffindor,8.0,6.0,False,3.0,5.0,No,2.0,Safe
1071,Gryffindor,8.0,,,5.0,3.0,No,0.0,Safe
1072,Hufflepuff,,11.0,False,6.0,5.0,No,1.0,Safe
1073,Slytherin,5.0,12.0,False,9.0,5.0,No,0.0,Safe
1074,Hufflepuff,5.0,12.0,False,3.0,,No,3.0,Vulnerable
1075,Hufflepuff,6.0,7.0,False,8.0,5.0,,1.0,Safe
1076,Ravenclaw,3.0,11.0,False,3.0,4.0,No,3.0,Safe
1077,Hufflepuff,5.0,14.0,False,8.0,5.0,No,1.0,Safe
1078,Gryffindor,9.0,12.0,,5.0,4.0,,0.0,Safe
1079,Gryffindor,6.0,9.0,False,3.0,5.0,No,3.0,Vulnerable
1080,Hufflepuff,6.0,8.0,False,,,No,2.0,Vulnerable
1081,Ravenclaw,6.0,15.0,False,,5.0,No,,Safe
1082,Ravenclaw,5.0,,,,5.0,No,4.0,Vulnerable
1083,Ravenclaw,5.0,11.0,,8.0,3.0,No,0.0,Safe
1084,Hufflepuff,3.0,,,0.0,2.0,Yes,7.0,Vulnerable
1085,Ravenclaw,8.0,12.0,,5.0,3.0,No,1.0,Safe
1086,Slytherin,5.0,6.0,,,6.0,No,0.0,Safe
1087,Slytherin,7.0,14.0,,9.0,,No,0.0,Safe
1088,Slytherin,10.0,11.0,False,8.0,7.0,No,4.0,Safe
1089,Ravenclaw,7.0,,False,10.0,5.0,No,,Safe
1090,Slytherin,5.0,3.0,,5.0,,No,0.0,Safe
1091,Ravenclaw,2.0,1.0,,2.0,3.0,Yes,6.0,Vulnerable
1092,Slytherin,,8.0,False,5.0,4.0,No,,Vulnerable
1093,Slytherin,0.0,,,2.0,,Yes,,Vulnerable
1094,Slytherin,4.0,,False,7.0,6.0,No,3.0,Safe
1095,Slytherin,4.0,6.0,False,8.0,,,3.0,Safe
1096,Gryffindor,5.0,7.0,False,6.0,7.0,No,0.0,Safe
1097,Slytherin,9.0,8.0,,5.0,7.0,,2.0,Safe
1098,Ravenclaw,5.0,4.0,False,7.0,5.0,No,,Safe
1099,Hufflepuff,5.0,11.0,False,,4.0,No,3.0,Vulnerable
1100,Hufflepuff,7.0,5.0,False,7.0,3.0,,3.0,Safe
1101,Slytherin,1.0,2.0,True,,3.0,Yes,5.0,Vulnerable
1102,Hufflepuff,8.0,9.0,False,8.0,5.0,No,3.0,Safe
1103,Slytherin,9.0,10.0,False,9.0,6.0,,1.0,Safe
1104,Slytherin,9.0,3.0,False,2.0,4.0,No,0.0,Safe
1105,Hufflepuff,7.0,15.0,False,5.0,3.0,,0.0,Safe
1106,Ravenclaw,,15.0,False,6.0,6.0,No,3.0,Safe
1107,Gryffindor,7.0,,,8.0,3.0,No,3.0,Safe
1108,Hufflepuff,4.0,4.0,False,8.0,3.0,No,2.0,Safe
1109,Hufflepuff,1.0,,True,1.0,1.0,Yes,7.0,Vulnerable
1110,Gryffindor,2.0,2.0,,3.0,2.0,Yes,7.0,Vulnerable
1111,Gryffindor,8.0,7.0,,,3.0,No,2.0,Safe
1112,Ravenclaw,9.0,11.0,False,4.0,7.0,No,1.0,Safe
1113,Slytherin,8.0,12.0,,10.0,5.0,No,2.0,Safe
1114,Gryffindor,6.0,8.0,,,,No,0.0,Vulnerable
1115,Gryffindor,,8.0,False,7.0,7.0,No,4.0,Safe
1116,Ravenclaw,6.0,,False,6.0,6.0,No,3.0,Vulnerable
1117,Hufflepuff,7.0,13.0,False,9.0,,No,1.0,Safe
1118,Slytherin,2.0,2.0,,2.0,,Yes,7.0,Vulnerable
1119,Gryffindor,,4.0,,1.0,2.0,,5.0,Vulnerable
1120,Slytherin,10.0,8.0,False,8.0,5.0,No,3.0,Safe
1121,Hufflepuff,9.0,,,7.0,4.0,No,2.0,Safe
1122,Ravenclaw,7.0,4.0,False,5.0,5.0,No,0.0,Safe
1123,Hufflepuff,,,,3.0,3.0,Yes,,Vulnerable
1124,Hufflepuff,3.0,15.0,False,7.0,6.0,No,2.0,Safe
1125,Hufflepuff,4.0,10.0,False,,4.0,No,0.0,Safe
1126,Slytherin,0.0,1.0,True,,,,8.0,Vulnerable
1127,Slytherin,4.0,12.0,False,4.0,5.0,No,1.0,Safe
1128,Gryffindor,8.0,9.0,False,9.0,7.0,No,1.0,Safe
1129,Slytherin,,9.0,False,3.0,3.0,No,0.0,Safe
1130,Slytherin,7.0,12.0,False,,5.0,No,1.0,Safe
1131,Slytherin,3.0,8.0,False,9.0,5.0,No,0.0,Safe
1132,Ravenclaw,3.0,4.0,False,6.0,3.0,No,3.0,Safe
1133,Hufflepuff,7.0,14.0,False,,3.0,No,1.0,Safe
1134,Slytherin,10.0,12.0,False,10.0,6.0,No,1.0,Safe
1135,Gryffindor,8.0,12.0,False,5.0,5.0,No,0.0,Safe
1136,Hufflepuff,8.0,10.0,False,3.0,6.0,No,1.0,Safe
1137,Slytherin,8.0,5.0,False,8.0,6.0,No,0.0,Safe
1138,Hufflepuff,4.0,15.0,False,9.0,3.0,No,2.0,Safe
1139,Slytherin,3.0,5.0,,1.0,2.0,Yes,,Vulnerable
1140,Ravenclaw,,,False,3.0,5.0,No,,Vulnerable
1141,Ravenclaw,8.0,11.0,False,8.0,7.0,No,,Safe
1142,Hufflepuff,6.0,8.0,,7.0,7.0,No,4.0,Safe
1143,Slytherin,0.0,1.0,True,0.0,,,4.0,Vulnerable
1144,Hufflepuff,1.0,4.0,,2.0,,Yes,,Vulnerable
1145,Gryffindor,6.0,,,8.0,,No,2.0,Vulnerable
1146,Slytherin,,,,,1.0,Yes,4.0,Vulnerable
1147,Slytherin,9.0,12.0,,,5.0,No,2.0,Safe
1148,Ravenclaw,8.0,,False,8.0,6.0,No,1.0,Safe
1149,Gryffindor,4.0,12.0,,9.0,5.0,No,1.0,Safe
1150,Slytherin,,0.0,True,1.0,1.0,Yes,9.0,Vulnerable
1151,Gryffindor,4.0,11.0,,5.0,,No,3.0,Vulnerable
1152,Hufflepuff,8.0,14.0,False,6.0,7.0,No,1.0,Safe
1153,Ravenclaw,9.0,9.0,,6.0,5.0,No,0.0,Safe
1154,Hufflepuff,5.0,14.0,False,8.0,7.0,No,2.0,Safe
1155,Slytherin,,5.0,True,0.0,2.0,Yes,11.0,Vulnerable
1156,Gryffindor,6.0,8.0,False,8.0,6.0,No,2.0,Safe
1157,Hufflepuff,7.0,14.0,,6.0,5.0,No,3.0,Safe
1158,Ravenclaw,5.0,10.0,False,,,No,,Vulnerable
1159,Hufflepuff,10.0,6.0,False,5.0,3.0,No,1.0,Safe
1160,Hufflepuff,6.0,13.0,,7.0,5.0,No,1.0,Safe
1161,Hufflepuff,4.0,7.0,False,4.0,6.0,No,0.0,Safe
1162,Gryffindor,8.0,8.0,,7.0,3.0,No,1.0,Safe
1163,Slytherin,3.0,14.0,False,4.0,5.0,No,,Safe
1164,Gryffindor,0.0,,,2.0,0.0,Yes,,Vulnerable
1165,Slytherin,7.0,8.0,False,9.0,5.0,,2.0,Safe
1166,Slytherin,3.0,,,0.0,1.0,Yes,7.0,Vulnerable
1167,Ravenclaw,5.0,5.0,False,,3.0,No,1.0,Safe
1168,Gryffindor,7.0,15.0,False,7.0,5.0,No,3.0,Safe
1169,Ravenclaw,7.0,5.0,False,,3.0,No,2.0,Safe
1170,Gryffindor,,12.0,False,5.0,7.0,No,4.0,Safe
1171,Slytherin,,0.0,True,0.0,0.0,Yes,,Vulnerable
1172,Hufflepuff,,5.0,True,3.0,,Yes,7.0,Vulnerable
1173,Gryffindor,9.0,7.0,False,7.0,6.0,,2.0,Safe
1174,Gryffindor,,3.0,True,2.0,1.0,,7.0,Vulnerable
1175,Slytherin,6.0,8.0,,7.0,7.0,No,,Safe
1176,Slytherin,6.0,10.0,False,9.0,6.0,No,1.0,Safe
1177,Gryffindor,,10.0,False,9.0,7.0,No,2.0,Safe
1178,Hufflepuff,8.0,10.0,,5.0,7.0,No,,Safe
1179,Slytherin,2.0,,True,,,Yes,4.0,Vulnerable
1180,Slytherin,8.0,14.0,False,4.0,3.0,,0.0,Safe
1181,Slytherin,9.0,9.0,False,6.0,4.0,No,3.0,Safe
1182,Slytherin,5.0,10.0,,,7.0,No,3.0,Safe
1183,Gryffindor,4.0,,,8.0,3.0,No,3.0,Safe
1184,Slytherin,9.0,9.0,False,10.0,7.0,No,4.0,Safe
1185,Gryffindor,,14.0,False,8.0,6.0,No,2.0,Safe
1186,Ravenclaw,9.0,12.0,,4.0,7.0,No,2.0,Safe
1187,Slytherin,3.0,10.0,,0.0,0.0,Yes,,Vulnerable
1188,Hufflepuff,9.0,7.0,,3.0,5.0,No,2.0,Safe
1189,Ravenclaw,7.0,5.0,False,7.0,4.0,No,3.0,Safe
1190,Ravenclaw,5.0,,,5.0,4.0,No,,Vulnerable
1191,Gryffindor,4.0,6.0,False,3.0,7.0,No,4.0,Safe
1192,Ravenclaw,3.0,13.0,False,8.0,6.0,No,0.0,Safe
1193,Slytherin,2.0,5.0,True,,2.0,Yes,5.0,Vulnerable
1194,Gryffindor,8.0,7.0,,,4.0,No,,Vulnerable
1195,Hufflepuff,6.0,8.0,False,3.0,7.0,No,,Safe
1196,Hufflepuff,3.0,11.0,False,6.0,4.0,No,0.0,Safe
1197,Slytherin,,4.0,,,,Yes,10.0,Vulnerable
1198,Slytherin,7.0,6.0,False,3.0,5.0,No,2.0,Safe
1199,Ravenclaw,,2.0,,,1.0,Yes,6.0,Vulnerable
1200,Hufflepuff,5.0,12.0,False,5.0,5.0,No,0.0,Safe
1201,Slytherin,4.0,9.0,,7.0,5.0,No,0.0,Safe
1202,Slytherin,0.0,2.0,True,0.0,1.0,,,Vulnerable
1203,Hufflepuff,2.0,0.0,True,1.0,2.0,Yes,9.0,Safe
1204,Gryffindor,5.0,10.0,False,8.0,3.0,No,5.0,Safe
1205,Slytherin,0.0,5.0,True,1.0,3.0,Yes,7.0,Vulnerable
1206,Gryffindor,8.0,14.0,,4.0,4.0,No,0.0,Safe
1207,Hufflepuff,8.0,5.0,False,8.0,4.0,No,3.0,Safe
1208,Slytherin,8.0,9.0,,4.0,3.0,,2.0,Safe
1209,Hufflepuff,3.0,0.0,True,,0.0,Yes,5.0,Vulnerable
1210,Slytherin,8.0,13.0,,9.0,,No,3.0,Safe
1211,Slytherin,9.0,6.0,False,3.0,,No,2.0,Vulnerable
1212,Gryffindor,5.0,6.0,False,9.0,3.0,No,,Safe
1213,Hufflepuff,7.0,4.0,,8.0,,No,0.0,Safe
1214,Slytherin,,2.0,True,2.0,0.0,Yes,7.0,Vulnerable
1215,Slytherin,,5.0,True,0.0,3.0,Yes,5.0,Vulnerable
1216,Slytherin,5.0,13.0,False,,7.0,No,2.0,Safe
1217,Gryffindor,7.0,10.0,,8.0,4.0,No,0.0,Safe
1218,Hufflepuff,5.0,,False,4.0,,No,2.0,Vulnerable
1219,Slytherin,5.0,6.0,,,5.0,No,3.0,Vulnerable
1220,Gryffindor,6.0,11.0,False,,7.0,No,1.0,Safe
1221,Slytherin,1.0,,,0.0,0.0,Yes,9.0,Vulnerable
1222,Ravenclaw,8.0,11.0,False,4.0,,No,2.0,Safe
1223,Slytherin,7.0,,False,3.0,7.0,No,3.0,Safe
1224,Slytherin,4.0,14.0,False,4.0,,No,0.0,Safe
1225,Hufflepuff,7.0,7.0,,7.0,4.0,No,3.0,Vulnerable
1226,Slytherin,,10.0,,6.0,6.0,No,3.0,Safe
1227,Hufflepuff,6.0,,False,4.0,3.0,No,0.0,Safe
1228,Slytherin,3.0,6.0,False,3.0,4.0,No,2.0,Safe
1229,Gryffindor,4.0,6.0,False,8.0,4.0,No,0.0,Safe
1230,Gryffindor,3.0,3.0,True,1.0,2.0,Yes,0.0,Safe
1231,Slytherin,3.0,1.0,True,2.0,1.0,Yes,6.0,Vulnerable
1232,Slytherin,9.0,6.0,False,4.0,5.0,No,2.0,Safe
1233,Slytherin,2.0,1.0,True,,2.0,Yes,,Vulnerable
1234,Slytherin,,4.0,True,1.0,1.0,Yes,9.0,Vulnerable
1235,Gryffindor,2.0,4.0,True,,,Yes,9.0,Vulnerable
1236,Slytherin,3.0,1.0,,2.0,,Yes,9.0,Vulnerable
1237,Gryffindor,8.0,6.0,,6.0,,No,1.0,Safe
1238,Slytherin,9.0,5.0,False,4.0,,No,2.0,Safe
1239,Slytherin,4.0,9.0,False,10.0,5.0,No,0.0,Safe
1240,Slytherin,3.0,0.0,True,,,,8.0,Vulnerable
1241,Hufflepuff,3.0,,,0.0,2.0,Yes,9.0,Vulnerable
1242,Ravenclaw,7.0,13.0,False,7.0,,No,3.0,Safe
1243,Ravenclaw,4.0,10.0,False,5.0,3.0,No,3.0,Vulnerable
1244,Gryffindor,3.0,13.0,False,5.0,7.0,No,1.0,Safe
1245,Ravenclaw,4.0,14.0,,3.0,5.0,No,1.0,Safe
1246,Hufflepuff,,12.0,False,3.0,7.0,No,2.0,Safe
1247,Slytherin,,10.0,,,,No,3.0,Vulnerable
1248,Slytherin,1.0,5.0,True,1.0,0.0,Yes,,Vulnerable
1249,Ravenclaw,,8.0,False,,,No,2.0,Vulnerable
1250,Slytherin,0.0,,,1.0,2.0,Yes,,Vulnerable
1251,Hufflepuff,5.0,6.0,False,7.0,6.0,No,8.0,Safe
1252,Gryffindor,5.0,6.0,,4.0,5.0,No,0.0,Safe
1253,Hufflepuff,1.0,5.0,,3.0,,Yes,8.0,Vulnerable
1254,Slytherin,6.0,8.0,,9.0,,No,0.0,Safe
1255,Gryffindor,,5.0,,,2.0,Yes,,Vulnerable
1256,Slytherin,6.0,11.0,False,3.0,3.0,No,,Safe
1257,Slytherin,8.0,10.0,False,3.0,4.0,No,,Safe
1258,Hufflepuff,,,True,2.0,,Yes,,Vulnerable
1259,Slytherin,5.0,13.0,False,7.0,,No,0.0,Safe
1260,Slytherin,2.0,0.0,True,2.0,,Yes,4.0,Vulnerable
1261,Gryffindor,8.0,8.0,,,6.0,No,0.0,Safe
1262,Ravenclaw,8.0,13.0,False,5.0,5.0,No,2.0,Safe
1263,Ravenclaw,3.0,4.0,True,3.0,3.0,Yes,10.0,Safe
1264,Slytherin,9.0,7.0,,8.0,,No,2.0,Safe
1265,Slytherin,9.0,15.0,False,6.0,3.0,No,,Safe
1266,Hufflepuff,7.0,,False,6.0,6.0,No,3.0,Safe
1267,Gryffindor,4.0,4.0,False,4.0,5.0,No,2.0,Safe
1268,Gryffindor,6.0,10.0,False,9.0,7.0,No,3.0,Safe
1269,Gryffindor,4.0,13.0,False,3.0,6.0,No,2.0,Safe
1270,Gryffindor,7.0,14.0,,7.0,3.0,,1.0,Safe
1271,Gryffindor,1.0,4.0,,2.0,,Yes,5.0,Vulnerable
1272,Gryffindor,7.0,13.0,,6.0,5.0,No,3.0,Safe
1273,Gryffindor,10.0,6.0,False,9.0,6.0,No,3.0,Safe
1274,Slytherin,3.0,2.0,True,2.0,1.0,,6.0,Vulnerable
1275,Gryffindor,8.0,14.0,,8.0,5.0,No,2.0,Safe
1276,Ravenclaw,1.0,3.0,True,2.0,0.0,,5.0,Vulnerable
1277,Ravenclaw,1.0,3.0,,0.0,0.0,Yes,11.0,Vulnerable
1278,Slytherin,0.0,5.0,True,0.0,0.0,Yes,,Vulnerable
1279,Slytherin,5.0,12.0,,3.0,7.0,No,0.0,Safe
1280,Ravenclaw,5.0,11.0,False,7.0,,No,2.0,Vulnerable
1281,Slytherin,1.0,3.0,,,,Yes,8.0,Vulnerable
1282,Slytherin,,8.0,,,,No,,Vulnerable
1283,Gryffindor,4.0,6.0,False,5.0,7.0,No,1.0,Safe
1284,Gryffindor,8.0,,False,7.0,4.0,No,4.0,Safe
1285,Slytherin,8.0,7.0,,5.0,,No,1.0,Safe
1286,Gryffindor,8.0,8.0,False,4.0,7.0,No,2.0,Safe
1287,Slytherin,,15.0,False,9.0,5.0,No,1.0,Safe
1288,Slytherin,6.0,12.0,,,5.0,No,3.0,Vulnerable
1289,Slytherin,,8.0,False,3.0,,No,3.0,Vulnerable
1290,Gryffindor,3.0,5.0,True,2.0,3.0,Yes,,Vulnerable
1291,Ravenclaw,,13.0,False,7.0,4.0,No,1.0,Safe
1292,Slytherin,2.0,0.0,True,,1.0,Yes,3.0,Vulnerable
1293,Slytherin,,1.0,True,2.0,,,6.0,Vulnerable
1294,Ravenclaw,4.0,8.0,False,7.0,4.0,No,,Vulnerable
1295,Ravenclaw,7.0,5.0,False,9.0,4.0,No,3.0,Safe
1296,Slytherin,1.0,2.0,True,,2.0,,,Vulnerable
1297,Slytherin,7.0,6.0,,,7.0,No,2.0,Safe
1298,Hufflepuff,6.0,7.0,False,8.0,3.0,No,2.0,Safe
1299,Slytherin,4.0,4.0,False,7.0,4.0,No,2.0,Safe
1300,Slytherin,3.0,0.0,True,2.0,3.0,Yes,,Vulnerable
1301,Ravenclaw,5.0,7.0,False,8.0,6.0,No,,Safe
1302,Gryffindor,,3.0,True,0.0,,Yes,,Vulnerable
1303,Ravenclaw,2.0,,,,0.0,Yes,8.0,Vulnerable
1304,Slytherin,4.0,,False,5.0,3.0,No,0.0,Safe
1305,Slytherin,,2.0,True,0.0,,Yes,5.0,Vulnerable
1306,Hufflepuff,4.0,14.0,False,8.0,5.0,No,0.0,Safe
1307,Slytherin,8.0,12.0,False,6.0,5.0,No,1.0,Safe
1308,Ravenclaw,,10.0,,4.0,,No,1.0,Vulnerable
1309,Slytherin,,1.0,True,0.0,1.0,Yes,8.0,Vulnerable
1310,Gryffindor,1.0,,,2.0,3.0,Yes,4.0,Vulnerable
1311,Slytherin,8.0,10.0,False,3.0,3.0,No,1.0,Safe
1312,Hufflepuff,9.0,8.0,False,8.0,4.0,No,2.0,Safe
1313,Gryffindor,8.0,,False,,5.0,,1.0,Safe
1314,Hufflepuff,0.0,,True,0.0,,Yes,,Vulnerable
1315,Slytherin,,,,2.0,,Yes,6.0,Vulnerable
1316,Hufflepuff,4.0,7.0,False,7.0,4.0,,0.0,Safe
1317,Slytherin,3.0,6.0,False,6.0,7.0,No,0.0,Safe
1318,Ravenclaw,7.0,9.0,False,8.0,3.0,No,0.0,Safe
1319,Slytherin,2.0,4.0,False,,,Yes,,Vulnerable
1320,Hufflepuff,,11.0,,6.0,,No,,Vulnerable
1321,Hufflepuff,3.0,4.0,True,,0.0,Yes,8.0,Vulnerable
1322,Ravenclaw,0.0,5.0,True,1.0,2.0,,7.0,Vulnerable
1323,Gryffindor,4.0,9.0,,7.0,5.0,,0.0,Safe
1324,Slytherin,3.0,15.0,False,,,No,0.0,Safe
1325,Ravenclaw,0.0,,True,0.0,,Yes,9.0,Vulnerable
1326,Gryffindor,7.0,11.0,,8.0,6.0,No,0.0,Safe
1327,Gryffindor,4.0,13.0,,5.0,4.0,,2.0,Safe
1328,Gryffindor,,12.0,,8.0,,No,0.0,Safe
1329,Hufflepuff,3.0,2.0,True,,1.0,Yes,4.0,Vulnerable
1330,Ravenclaw,4.0,12.0,False,5.0,6.0,No,3.0,Safe
1331,Slytherin,6.0,,False,4.0,,No,3.0,Vulnerable
1332,Slytherin,,13.0,False,7.0,6.0,No,,Safe
1333,Hufflepuff,8.0,8.0,False,6.0,4.0,No,2.0,Vulnerable
1334,Hufflepuff,,5.0,True,1.0,0.0,,4.0,Vulnerable
1335,Gryffindor,9.0,11.0,False,4.0,,No,0.0,Safe
1336,Slytherin,0.0,3.0,,2.0,2.0,,,Vulnerable
1337,Slytherin,5.0,6.0,False,3.0,,No,2.0,Safe
1338,Ravenclaw,6.0,8.0,False,8.0,3.0,No,,Vulnerable
1339,Ravenclaw,6.0,12.0,,9.0,4.0,No,1.0,Safe
1340,Slytherin,1.0,5.0,True,2.0,,Yes,,Vulnerable
1341,Gryffindor,3.0,,,2.0,0.0,Yes,5.0,Vulnerable
1342,Gryffindor,8.0,14.0,False,4.0,4.0,,0.0,Safe
1343,Ravenclaw,9.0,15.0,False,6.0,6.0,No,2.0,Safe
1344,Slytherin,,10.0,False,,5.0,No,,Vulnerable
1345,Slytherin,3.0,1.0,,,0.0,,5.0,Vulnerable
1346,Ravenclaw,8.0,12.0,,,3.0,No,1.0,Safe
1347,Gryffindor,6.0,15.0,,,3.0,No,0.0,Safe
1348,Ravenclaw,4.0,14.0,False,4.0,3.0,No,3.0,Safe
1349,Slytherin,9.0,10.0,False,5.0,6.0,No,3.0,Safe
1350,Gryffindor,7.0,8.0,,4.0,4.0,,2.0,Vulnerable
1351,Ravenclaw,9.0,15.0,,8.0,3.0,No,1.0,Safe
1352,Ravenclaw,4.0,12.0,False,5.0,3.0,No,2.0,Safe
1353,Hufflepuff,5.0,11.0,False,9.0,6.0,No,,Safe
1354,Gryffindor,6.0,9.0,False,3.0,4.0,No,0.0,Safe
1355,Slytherin,,2.0,,,0.0,Yes,11.0,Vulnerable
1356,Ravenclaw,4.0,5.0,True,0.0,,Yes,8.0,Vulnerable
